"Property id","City","Location","Plot Number","Size","Floor","Accommodation","Possession","Price","Facing","PARK FACING","Corner","Description","Title","Builder name","Contact","Editor Choice","Folder Name","PHOTO TYPE","Image Link","THUMBNAL","","","","","","",""
"","GURGAON","SUSHANT LOK -1","A329A","360","1st","4BHK","READY","3.9","WEST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Luxury Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","SG REALTOR","9810934743","YES","A329A/SL1","360 DEGREE","https://drive.google.com/drive/folders/1efIBwqglgYlI-hU7pdjQSHdh1bp1iRFS?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","A329A","360","2nd","4BHK","READY","3.75","WEST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Luxury Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","SG REALTOR","9810934743","YES","A329A/SL1","360 DEGREE","https://drive.google.com/drive/folders/1efIBwqglgYlI-hU7pdjQSHdh1bp1iRFS?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","A329A","360","3rd","4BHK","READY","3.75","WEST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Luxury Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","SG REALTOR","9810934743","YES","A329A/SL1","360 DEGREE","https://drive.google.com/drive/folders/1efIBwqglgYlI-hU7pdjQSHdh1bp1iRFS?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B473","300","2nd","4BHK","READY","3.6","NORTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","SUMIT ARORA","9953040531","YES","B473/SL1","360 DEGREE","https://drive.google.com/drive/folders/1qP1vCHuXHUe7HfiK9pk0DtQh07vGFqc_?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B473","300","3rd","4BHK","READY","3.6","NORTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","SUMIT ARORA","9953040531","YES","B473/SL1","360 DEGREE","https://drive.google.com/drive/folders/1qP1vCHuXHUe7HfiK9pk0DtQh07vGFqc_?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C403","300","1st","4BHK","READY","3.5","EAST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","RAHUL SACHDEVA","9999898995","YES","C403/SL1","360 DEGREE","https://drive.google.com/drive/folders/1D1tlQv_Mo1bUVXuzd2GvGTTgVrDgWu-7?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C403","300","2nd","4BHK","READY","3.35","EAST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","RAHUL SACHDEVA","9999898995","YES","C403/SL1","360 DEGREE","https://drive.google.com/drive/folders/1D1tlQv_Mo1bUVXuzd2GvGTTgVrDgWu-7?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C403","300","4th","4BHK","READY","4","EAST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","RAHUL SACHDEVA","9999898995","YES","C403/SL1","360 DEGREE","https://drive.google.com/drive/folders/1D1tlQv_Mo1bUVXuzd2GvGTTgVrDgWu-7?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C430A","270","4th","4BHK","READY","3.25","WEST","YES","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","3BHK Luxury  Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","ARUN DIWAN","9810914660","","C403/SL1","360 DEGREE","https://drive.google.com/drive/folders/1vwfYChxlLpzAVV6UMP9fP4k2wNPTieDy?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C959","215","1st","3BHK","READY","2.35","EAST","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","3BHK Brand New Builder Floor for Sale in Sushant Lok-1,Gurgaon","ATUL","7906524018","","C959/SL1","360 DEGREE","https://drive.google.com/drive/folders/1-d0NWkq54Z2Y_JVo5MIvSLxtakOgTKL2?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C973","500","1st","4BHK","READY","5.75","SOUTH","YES","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in Sushant Lok-1,Gurgaon","REACH HOME","9599118977","YES","C959/SL1","360 DEGREE","https://drive.google.com/drive/folders/1-d0NWkq54Z2Y_JVo5MIvSLxtakOgTKL2?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C973","500","2nd","4BHK","READY","5.5","SOUTH","YES","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in Sushant Lok-1,Gurgaon","REACH HOME","9599118977","YES","C959/SL1","360 DEGREE","https://drive.google.com/drive/folders/1-d0NWkq54Z2Y_JVo5MIvSLxtakOgTKL2?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C973","500","3rd","4BHK","READY","6.5","SOUTH","YES","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in Sushant Lok-1,Gurgaon","REACH HOME","9599118977","YES","C959/SL1","360 DEGREE","https://drive.google.com/drive/folders/1-d0NWkq54Z2Y_JVo5MIvSLxtakOgTKL2?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","C974","500","1st","4BHK","READY","5.75","SOUTH","YES","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in Sushant Lok-1,Gurgaon","REACH HOME","9599118977","YES","C974/SL1","360 DEGREE","https://drive.google.com/drive/folders/1t6DJptRtZF1jZgZKRqxik7e6lmAYZw_E?usp=share_link","","","","","","","",""
"","GURGAON","DLF PHASE 4","3705","360","1st","4BHK","READY","3.7","SOUTHEAST","YES","NO"," Near Golf Course Road
 Near Rapid Metro
 Near Galleria Market
 Near Supermart Market
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in DLF-4,Gurgaon","AVAK FLOOR","9818817925","","3705/DLF4","360 DEGREE","https://drive.google.com/drive/folders/1wMOspN5tFegbid_QYxnRpcrpzFVAReDN?usp=sharing","","","","","","","",""
"","GURGAON","DLF PHASE 4","3705","360","3rd","4BHK","READY","3.5","SOUTHEAST","YES","NO"," Near Golf Course Road
 Near Rapid Metro
 Near Galleria Market
 Near Supermart Market
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in DLF-4,Gurgaon","AVAK FLOOR","9818817925","","3705/DLF4","360 DEGREE","https://drive.google.com/drive/folders/1wMOspN5tFegbid_QYxnRpcrpzFVAReDN?usp=sharing","","","","","","","",""
"","GURGAON","DLF PHASE 4","3705","360","4th","4BHK","READY","4.15","SOUTHEAST","YES","NO"," Near Golf Course Road
 Near Rapid Metro
 Near Galleria Market
 Near Supermart Market
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in DLF-4,Gurgaon","AVAK FLOOR","9818817925","","3705/DLF4","360 DEGREE","https://drive.google.com/drive/folders/1wMOspN5tFegbid_QYxnRpcrpzFVAReDN?usp=sharing","","","","","","","",""
"","GURGAON","DLF PHASE 4","3706","360","1st","4BHK","READY","3.7","SOUTHEAST","YES","NO"," Near Golf Course Road
 Near Rapid Metro
 Near Galleria Market
 Near Supermart Market
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury  Brand New Builder Floor for Sale in DLF-4,Gurgaon","AVAK FLOOR","9818817925","","3706/DLF4","360 DEGREE","https://drive.google.com/drive/folders/1G5NshncEgblcOFHpYoH3Zruufz9MdcAz?usp=share_link","","","","","","","",""
"","GURGAON","SECTOR 27","564","500","4th","5BHK","READY","4.25","NORTH","NO","NO","	Near Golf Course Road
	Near Rapid Metro
	Near Galleria Market
	Near Supermart Market
	Wardrobe in Each Room with attached washrooms
	Modular Kitchen
	Italian Marble
	Chimney & Hob with Exhaust FAN","5BHK Brand New Builder Floor Availabe for Sale in Sector 27,Gurgaon","Prateek Saluja","9899431994","","574 SEC 27","360 DEGREE","https://drive.google.com/drive/folders/1nQmEkagHRbkOjy8DGwzO5RVT6KiMZ0lf?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B366","300","2nd","4BHK","READY","3.5","SOUTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Super Ultra Luxury Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","RAJIV BANSAL","9811124720","YES","B366/SL1","360 DEGREE","https://drive.google.com/drive/folders/1GPSbN65FzGeoQtZQ-DZh466Bd23EDvEO?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B25D","300","1st","4BHK","READY","3.75","SOUTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","ARUN DADLANI","9810022079","YES","B25D/SL1","360 DEGREE","https://drive.google.com/drive/folders/1_9-fy0xtYRV0H37ggUyMe8yNrFcMN37c?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B25D","300","2nd","4BHK","READY","3.6","SOUTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","ARUN DADLANI","9810022079","YES","B25D/SL1","360 DEGREE","https://drive.google.com/drive/folders/1_9-fy0xtYRV0H37ggUyMe8yNrFcMN37c?usp=share_link","","","","","","","",""
"","GURGAON","SUSHANT LOK -1","B25D","300","3rd","4BHK","READY","3.6","SOUTH","NO","NO"," Near Golf Course Road
 Walking Distance to Vyapar Kendra Market
 500 mtr Distance Galleria Market
 250 mtr Distance Supermart Market
 1 KM Distance from HUDA City Center Metro Station
1 KM Distance From Fortis Hospital
 Wardrobe in Each Room with attached washrooms
 Modular Kitchen
 Italian Marble
 Chimney & Hob with Exhaust FAN","4BHK Brand New Builder Floor Availabe for Sale in Sushant Lok-1,Gurgaon","ARUN DADLANI","9810022079","YES","B25D/SL1","360 DEGREE","https://drive.google.com/drive/folders/1_9-fy0xtYRV0H37ggUyMe8yNrFcMN37c?usp=share_link","","","","","","","",""
